Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon
bypass1,Area,Jones_JAZ_POC_run16_05292015001.prm,ByPass,0,75.597,0.0177,100,0,0,0,???
bypass2,Area,Jones_JAZ_POC_run16_05292015002.prm,ByPass,0,40.1977,0.0043,100,0,0,0,???
timingStd_G12,Area,Jones_JAZ_POC_run16_05292015003.prm,Unknown,0.581,202.5585,0.0658,11.3263,2947.4893,0.4237,72.9344,0.0687
blank_A5red,Area,Jones_JAZ_POC_run16_05292015004.prm,Blank,0,34.4145,0.0021,100,0,0,0,???
std1_F11,Area,Jones_JAZ_POC_run16_05292015005.prm,Standard,0.058,42.5448,0.0052,8.9389,244.6418,0.0385,66.3711,0.1739
std2_G2,Area,Jones_JAZ_POC_run16_05292015006.prm,Standard,0.174,72.5219,0.0165,9.5066,873.0991,0.1271,73.0741,0.0831
std3_E10,Area,Jones_JAZ_POC_run16_05292015007.prm,Standard,0.481,152.4477,0.0468,9.7342,2361.8841,0.3394,70.5586,0.0645
std4_D10,Area,Jones_JAZ_POC_run16_05292015008.prm,Standard,0.674,212.9209,0.0697,10.346,3338.6724,0.4804,71.274,0.0638
std5_G9,Area,Jones_JAZ_POC_run16_05292015009.prm,Standard,1.397,427.5907,0.1511,10.8131,6832.6185,0.9968,71.3548,0.0626
std6_D2,Area,Jones_JAZ_POC_run16_05292015010.prm,Standard,2.148,611.0764,0.2206,10.2688,10251.1638,1.5221,70.8596,0.0596
std7_B5,Area,Jones_JAZ_POC_run16_05292015011.prm,Standard,2.932,828.1018,0.3028,10.3272,13771.3937,2.0862,71.1532,0.0601
blank_A6red,Area,Jones_JAZ_POC_run16_05292015012.prm,Unknown,0,22.6057,0.0081,100,0,0,0,???
P1187,Area,Jones_JAZ_POC_run16_05292015013.prm,Unknown,0,80.6911,0.0196,11.0505,1091.3103,0.1581,88.9495,0.0739
P1188,Area,Jones_JAZ_POC_run16_05292015014.prm,Unknown,0,40.1378,0.0043,5.3253,510.707,0.076,94.6747,0.0786
P1189,Area,Jones_JAZ_POC_run16_05292015015.prm,Unknown,0,29.5398,0.0003,0.5967,276.0611,0.0429,99.4033,0.107
P1190,Area,Jones_JAZ_POC_run16_05292015016.prm,Unknown,0,34.6755,0.0022,2.922,491.122,0.0732,97.078,0.0706
P1191,Area,Jones_JAZ_POC_run16_05292015017.prm,Unknown,0,27.8317,0.01,15.5155,358.8283,0.0546,84.4845,0.0776
P1192,Area,Jones_JAZ_POC_run16_05292015018.prm,Unknown,0,43.0669,0.0054,5.1009,682.0183,0.1001,94.8991,0.0631
P1193,Area,Jones_JAZ_POC_run16_05292015019.prm,Unknown,0,77.3566,0.0184,9.1774,1258.7588,0.1818,90.8226,0.0615
P1194,Area,Jones_JAZ_POC_run16_05292015020.prm,Unknown,0,105.7386,0.0291,11.9964,1482.6312,0.2137,88.0036,0.0713
P1195,Area,Jones_JAZ_POC_run16_05292015021.prm,Unknown,0,146.9219,0.0447,13.8229,1939.5087,0.2789,86.1771,0.0758
P1196,Area,Jones_JAZ_POC_run16_05292015022.prm,Unknown,0,44.4969,0.0059,6.2067,606.8459,0.0895,93.7933,0.0733
P1197,Area,Jones_JAZ_POC_run16_05292015023.prm,Unknown,0,53.2588,0.0092,11.2707,488.0762,0.0728,88.7293,0.1091
P1198,Area,Jones_JAZ_POC_run16_05292015024.prm,Unknown,0,39.8664,0.0042,5.1881,512.4288,0.0762,94.8119,0.0778
P1199,Area,Jones_JAZ_POC_run16_05292015025.prm,Unknown,0,31.6029,0.001,1.768,381.3826,0.0577,98.232,0.0829
P1200,Area,Jones_JAZ_POC_run16_05292015026.prm,Unknown,0,38.7366,0.0037,4.3639,553.5532,0.082,95.6361,0.07
control_G8,Area,Jones_JAZ_POC_run16_05292015027.prm,Unknown,0.517,162.8454,0.0508,9.8183,2611.0417,0.3752,72.5761,0.0624
P1201,Area,Jones_JAZ_POC_run16_05292015028.prm,Unknown,0,43.303,0.0055,7.3969,457.7918,0.0685,92.6031,0.0946
P1202,Area,Jones_JAZ_POC_run16_05292015029.prm,Unknown,0,70.1985,0.0157,14.1013,648.4872,0.0954,85.8987,0.1082
P1203,Area,Jones_JAZ_POC_run16_05292015030.prm,Unknown,0,44.0594,0.0058,5.1443,724.7891,0.1062,94.8557,0.0608
P1204,Area,Jones_JAZ_POC_run16_05292015031.prm,Unknown,0,43.409,0.0055,5.175,688.1285,0.101,94.825,0.0631
P1205,Area,Jones_JAZ_POC_run16_05292015032.prm,Unknown,0,31.812,0.0011,1.5314,482.0083,0.0719,98.4686,0.066
P1212,Area,Jones_JAZ_POC_run16_05292015033.prm,Unknown,0,52.5296,0.009,7.0424,811.0127,0.1184,92.9576,0.0648
P1213,Area,Jones_JAZ_POC_run16_05292015034.prm,Unknown,0,70.7614,0.0159,9.8697,998.9321,0.145,90.1303,0.0708
P1214,Area,Jones_JAZ_POC_run16_05292015035.prm,Unknown,0,46.6771,0.0068,6.8217,625.8106,0.0922,93.1783,0.0746
P1215,Area,Jones_JAZ_POC_run16_05292015036.prm,Unknown,0,35.5437,0.0025,4.5319,350.158,0.0533,95.4681,0.1015
P1216,Area,Jones_JAZ_POC_run16_05292015037.prm,Unknown,0,49.1917,0.0077,8.034,597.2857,0.0882,91.966,0.0824
P1217,Area,Jones_JAZ_POC_run16_05292015038.prm,Unknown,0,45.8374,0.0064,6.2737,653.3723,0.0961,93.7263,0.0702
P1218,Area,Jones_JAZ_POC_run16_05292015039.prm,Unknown,0,36.7645,0.003,4.3403,440.0489,0.066,95.6597,0.0835
P1219,Area,Jones_JAZ_POC_run16_05292015040.prm,Unknown,0,56.9971,0.0107,8.6988,765.1592,0.1119,91.3012,0.0745
P1220,Area,Jones_JAZ_POC_run16_05292015041.prm,Unknown,0,35.8632,0.0027,3.7565,454.0663,0.068,96.2435,0.079
P1221,Area,Jones_JAZ_POC_run16_05292015042.prm,Unknown,0,38.6782,0.0037,3.8338,633.6302,0.0933,96.1662,0.061
P1222,Area,Jones_JAZ_POC_run16_05292015043.prm,Unknown,0,35.3444,0.0025,2.9795,539.3119,0.08,97.0205,0.0655
P1223,Area,Jones_JAZ_POC_run16_05292015044.prm,Unknown,0,101.2769,0.0274,8.6937,2004.4527,0.2881,91.3063,0.0505
control_D3,Area,Jones_JAZ_POC_run16_05292015045.prm,Unknown,2.321,693.6445,0.2519,10.8511,11137.2378,1.6617,71.5951,0.0623
P1224,Area,Jones_JAZ_POC_run16_05292015046.prm,Unknown,0,38.1267,0.0035,3.6581,627.6571,0.0925,96.3419,0.0607
P1225,Area,Jones_JAZ_POC_run16_05292015047.prm,Unknown,0,39.8185,0.0042,5.0132,529.8719,0.0787,94.9868,0.0751
P1226,Area,Jones_JAZ_POC_run16_05292015048.prm,Unknown,0,32.2847,0.0013,1.8664,455.7995,0.0682,98.1336,0.0708
P1227,Area,Jones_JAZ_POC_run16_05292015049.prm,Unknown,0,37.2639,0.0032,4.263,479.0802,0.0715,95.737,0.0778
P1228,Area,Jones_JAZ_POC_run16_05292015050.prm,Unknown,0,33.5836,0.0018,2.5787,451.4545,0.0676,97.4213,0.0744
P1229,Area,Jones_JAZ_POC_run16_05292015051.prm,Unknown,0,34.682,0.0022,2.4058,606.5211,0.0895,97.5942,0.0572
P1240,Area,Jones_JAZ_POC_run16_05292015052.prm,Unknown,0,44.9132,0.0061,5.2158,755.5307,0.1105,94.7842,0.0594
P1241,Area,Jones_JAZ_POC_run16_05292015053.prm,Unknown,0,88.1048,0.0224,10.8308,1279.616,0.1848,89.1692,0.0689
P1242,Area,Jones_JAZ_POC_run16_05292015054.prm,Unknown,0,49.0538,0.0077,5.9187,833.94,0.1216,94.0813,0.0588
P1243,Area,Jones_JAZ_POC_run16_05292015055.prm,Unknown,0,37.4179,0.0032,4.9456,413.8784,0.0623,95.0544,0.0904
P1244,Area,Jones_JAZ_POC_run16_05292015056.prm,Unknown,0,45.4202,0.0063,5.3052,765.8894,0.112,94.6948,0.0593
P1245,Area,Jones_JAZ_POC_run16_05292015057.prm,Unknown,0,38.645,0.0037,3.1355,783.8311,0.1145,96.8645,0.0493
P1246,Area,Jones_JAZ_POC_run16_05292015058.prm,Unknown,0,66.0877,0.0141,8.2328,1085.304,0.1572,91.7672,0.0609
P1247,Area,Jones_JAZ_POC_run16_05292015059.prm,Unknown,0,105.7682,0.0291,10.5097,1724.2575,0.2481,89.4903,0.0613
P1248,Area,Jones_JAZ_POC_run16_05292015060.prm,Unknown,0,29.1822,0.0001,0.128,647.9249,0.0953,99.872,0.045
P1249,Area,Jones_JAZ_POC_run16_05292015061.prm,Unknown,0,52.7227,0.009,5.6001,1051.3387,0.1524,94.3999,0.0501
control_G3,Area,Jones_JAZ_POC_run16_05292015062.prm,Unknown,0.26,87.2247,0.0221,8.5045,1366.1191,0.1971,75.8011,0.0638
